url,beds,city,date,size,type,baths,price,neighborhood,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,property_group,beds_clean,baths_clean,neighborhood_bucket,price_per_sqft,flag_extreme_price_per_sqft
https://www.99acres.com/dithya-agarta-kompally-hyderabad-npxid-r435622,3,Hyderabad,2025-02-19,Varies,"3, 4 BHK Apartment",3,0.0,Kompally,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,3.0,Other,,True
https://www.99acres.com/incor-lake-city-patancheru-hyderabad-npxid-r373118,1,Hyderabad,2025-02-19,Varies,"1, 2, 3 BHK Apartment",1,8212000.0,Patancheru,,,,2025-02-19 00:00:00.000,0,Apartment,1.0,1.0,Other,,True
https://www.99acres.com/nsl-nakshatra-kphb-hyderabad-npxid-r428751,3,Hyderabad,2025-02-19,Varies,"3, 4 BHK Apartment",3,19200000.0,KPHB,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,3.0,Other,,True
https://www.99acres.com/rishita-mulberry-heights-sushant-golf-city-lucknow-npxid-r325311,2,Lucknow,2025-02-19,various,"2, 3 BHK Apartment",0,9059000.0,Sushant Golf City,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Sushant Golf City,,True
https://www.99acres.com/krishna-tower-kanpur-road-lucknow-npxid-r152473,2,Lucknow,2025-02-19,various,"2, 3 BHK Apartment",0,3943000.0,Kanpur Road,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Other,,True
https://www.99acres.com/eldeco-trinity-gomti-nagar-extension-lucknow-npxid-r421468,2,Lucknow,2025-02-19,various,"2, 3, 4, 5 BHK Apartment",0,20300000.0,Gomti Nagar Extension,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Gomti Nagar Extension,,True
https://www.99acres.com/shalimar-one-world-21-gomti-nagar-extension-lucknow-npxid-r429111,3,Lucknow,2025-02-19,various,3 BHK Apartment,0,23500000.0,Gomti Nagar Extension,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Gomti Nagar Extension,,True
https://www.99acres.com/green-park-city-sultanpur-road-lucknow-npxid-r401774,0,Lucknow,2025-02-19,various,Land,0,750000.0,Sultanpur Road,,,,2025-02-19 00:00:00.000,0,Plot,,,Other,,True
https://www.99acres.com/oro-constella-sushant-golf-city-lucknow-npxid-r409651,3,Lucknow,2025-02-19,various,"3, 4, 5 BHK Apartment",0,14900000.0,Sushant Golf City,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Sushant Golf City,,True
https://www.99acres.com/shalimar-one-world-pinnacle-gomti-nagar-extension-lucknow-npxid-r423230,4,Lucknow,2025-02-19,various,"4, 5 BHK Apartment",0,45900000.0,Gomti Nagar Extension,,,,2025-02-19 00:00:00.000,0,Apartment,4.0,,Gomti Nagar Extension,,True
https://www.99acres.com/jashn-elevate-sushant-golf-city-lucknow-npxid-r427388,2,Lucknow,2025-02-19,various,"2, 3 BHK Apartment",0,15800000.0,Sushant Golf City,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Sushant Golf City,,True
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-santacruz-west-western-mumbai-1459-sq-ft-r1-spid-C78553579,3,Mumbai,2025-02-19,1459 sqft,Flat,4,73000000.0,Santacruz West,1459.0,1459.0,1459.0,2025-02-19 00:00:00.000,0,Flat,3.0,4.0,Other,50034.27004797807,True
https://www.99acres.com/godrej-horizon-wadala-south-mumbai-npxid-r389975,2,Mumbai,2025-02-19,627 - 1476.92 sqft,Apartment,2,29900000.0,Wadala,627.0,1476.92,1051.96,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,28423.133959466137,True
https://www.99acres.com/l-and-t-island-cove-mahim-west-south-mumbai-npxid-r394731,2,Mumbai,2025-02-19,694.81 - 1219.77 sqft,Apartment,2,29100000.0,Mahim West,694.81,1219.77,957.29,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,30398.311901304725,True
